Fecha,Clics,Impresiones,CTR,Posición
2026-05-25,0,59,0%,6.1
2026-05-26,2,32,6.25%,10.4
2026-05-27,2,54,3.7%,11.4
2026-05-28,0,38,0%,18.3
2026-05-29,5,55,9.09%,11.2
2026-05-30,2,49,4.08%,8
2026-05-31,2,47,4.26%,8.5
