País,Clics,Impresiones,CTR,Posición
España,13,286,4.55%,10.79
Estados Unidos,0,27,0%,6.3
Canadá,0,6,0%,2.17
Alemania,0,3,0%,10.33
Francia,0,2,0%,2.5
Países Bajos,0,2,0%,6.5
Honduras,0,2,0%,12
Dinamarca,0,1,0%,4
Australia,0,1,0%,10
Suiza,0,1,0%,10
Reino Unido,0,1,0%,11
Brasil,0,1,0%,13
Vietnam,0,1,0%,21
