País,Clics,Impresiones,CTR,Posición
España,1,81,1.23%,51.86
Estados Unidos,0,34,0%,8.15
Reino Unido,0,3,0%,14
Italia,0,1,0%,5
México,0,1,0%,6
Tailandia,0,1,0%,7
Australia,0,1,0%,9
Alemania,0,1,0%,9
Noruega,0,1,0%,29
